AGENCY_AREA,CATCHMENT,WATERBODY_TYPE,WATERBODY_TYPE_DESCRIPTION,WATER_BODY,SITE_ID,SITE_VERSION,NGR_PREFIX,EASTING,NORTHING,NGR_10_FIG,FULL_EASTING,FULL_NORTHING,WFD_WATERBODY_ID,SLOPE,DIST_FROM_SOURCE,SOURCE_ALTITUDE,ALKALINITY,BASE_DATA_DATE,MIN_SAMPLE_DATE,MAX_SAMPLE_DATE,COUNT_OF_SAMPLES,ECN_SITE_MPHYTE
SOUTHERN - SOLENT & S. DOWNS,ITCHEN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ITCHEN (SOUTHERN),110245,2,SU,45760,20630,SU4576020630,445760,120630,GB107042022580,0.8,32.940,83.0,233.0,04/10/2012,17/06/2002,16/07/2009,23,False
SOUTHERN - SOLENT & S. DOWNS,ARUN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SUSSEX ROTHER,96081,2,SU,77156,23098,SU7715623098,477156,123098,GB107041012840,,,,,,19/06/2002,29/08/2003,2,False
ANGLIAN - NORTHERN,CENTRAL LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BRANT,157670,1,SK,94721,61896,SK9472161896,494721,361896,GB105030056770,,,75.0,,,08/07/2011,08/07/2011,1,False
SOUTH WEST - NORTH WESSEX,BISS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BISS,173244,1,ST,86634,57083,ST8663457083,386634,157083,GB109053021791,2.5,10.100,100.0,232.0,08/01/2014,31/07/2014,31/07/2014,1,False
THAMES - NORTH EAST,LEE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LEE (THAMES),34339,1,TL,12800,17200,TL1280017200,512800,217200,GB106038033392,1.7,12.740,117.0,220.0,01/01/1995,31/08/1994,16/07/2015,12,False
SOUTH WEST - CORNWALL,CAMEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MENALHYL,10051,1,SW,92660,64610,SW9266064610,192660,064610,GB108049000070,22.2,3.900,148.0,29.0,04/10/2012,23/08/2007,01/09/2008,2,False
ANGLIAN - CENTRAL,LARK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TUDDENHAM MILL STREAM,161111,1,TL,73203,72781,TL7320372781,573203,272781,GB105033043010,0.9,3.450,18.0,243.7,27/01/2014,06/08/2013,17/08/2016,2,False
NORTH WEST - NORTH,LUNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TEBAYGILL BECK,159597,1,NY,62431,04944,NY6243104944,362431,504944,GB112072071780,5.2,21.700,446.0,35.4,29/11/2013,20/06/2013,20/06/2013,1,False
SOUTH WEST - SOUTH WESSEX,FROME,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DORSET FROME,9057,1,SY,70892,90385,SY7089290385,370892,090385,GB108044009692,1.7,26.000,190.0,215.2,01/01/1995,04/07/2011,04/07/2011,1,False
NORTH EAST - YORKSHIRE,HUMBER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FOULNESS,164404,1,SE,82567,40896,SE8256740896,482567,440896,GB104026066720,2.9,8.600,61.0,222.2,05/02/2014,05/07/2013,07/07/2016,2,False
